car,mileage,capacity
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,170918.1408,35.86942666666667
24,171500.31360000002,37.4713125
24,171500.31360000002,37.4713125
24,171500.31360000002,37.4713125
24,171500.31360000002,37.4713125
24,171500.31360000002,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,171780.6816,37.4713125
24,172260.9504,37.54790333333335
24,172260.9504,37.54790333333335
24,172260.9504,37.54790333333335
24,172260.9504,37.54790333333335
24,172260.9504,37.54790333333335
24,172260.9504,37.54790333333335
24,172512.1728,37.54790333333335
24,172512.1728,37.54790333333335
24,172512.1728,37.54790333333335
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,172777.12320000003,37.15888750000001
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173050.8384,37.089003999999996
24,173587.4976,36.77767266666667
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,174431.34720000002,36.37078797619048
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,176187.89760000003,37.9722
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177191.0976,38.10352016666667
24,177533.9808,37.74954833333333
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,178229.4624,36.1975725
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179066.8704,36.25498383333333
24,179293.69920000003,36.76674000000001
24,179293.69920000003,36.76674000000001
24,179293.69920000003,36.76674000000001
24,179293.69920000003,36.76674000000001
24,179293.69920000003,36.76674000000001
24,179293.69920000003,36.76674000000001
24,179293.69920000003,36.76674000000001
24,179293.69920000003,36.76674000000001
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,180746.1216,37.12707333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181153.3152,37.24271333333333
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
24,181253.63520000002,37.05984
